category,agency,account,project,recipient,location,state,budget_request,additional_amount,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,requestor_three_full_name,requestor_three_bioguide_id,requestor_three_chamber,requestor_three_party,requestor_four_full_name,requestor_four_bioguide_id,requestor_four_chamber,requestor_four_party,requestor_five_full_name,requestor_five_bioguide_id,requestor_five_chamber,requestor_five_party,requestor_six_full_name,requestor_six_bioguide_id,requestor_six_chamber,requestor_six_party,requestor_seven_full_name,requestor_seven_bioguide_id,requestor_seven_chamber,requestor_seven_party,requestor_eight_full_name,requestor_eight_bioguide_id,requestor_eight_chamber,requestor_eight_party,requestor_nine_full_name,requestor_nine_bioguide_id,requestor_nine_chamber,requestor_nine_party
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Children’s Health System of Texas, Dallas, TX for children’s mental health services",,,TX,,,900000,H,Eddie Bernice Johnson,J000126,rep,Democrat,Colin Z. Allred,A000376,rep,Democrat,Marc A. Veasey,V000131,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Children’s Hospital of Orange County, Orange, CA for mental health treatment services and programs for children and families",,,CA,,,325000,H,J. Luis Correa,C001110,rep,Democrat,Dianne Feinstein,F000062,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Chinese-American Planning Council, New York, NY for mental health services, including outreach, education and other support services",,,NY,,,500000,H,Nydia M. Velázquez,V000081,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of Azusa, CA for mental health and support services through the Azusa Teen and Family Center",,,CA,,,560000,H,Grace F. Napolitano,N000179,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of Dublin, CA for a Mental Health Urgent Care Center to provide access to mental health crisis care",,,CA,,,450000,H,Eric Swalwell,S001193,rep,Democrat,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of Indianapolis, IN for mental health and substance use treatment services for people in need of permanent supportive housing",,,IN,,,500000,H,André Carson,C001072,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of Laredo, TX for a substance use treatment center",,,TX,,,2000000,H,Henry Cuellar,C001063,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of Murrieta, CA for homeless services",,,CA,,,500000,H,Ken Calvert,C000059,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of Oakland, CA for the Oakland Mental Health Resilience project",,,CA,,,1230000,H,Barbara Lee,L000551,rep,Democrat,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of Palo Alto, CA for a mental health crisis response team",,,CA,,,2000000,H,Anna G. Eshoo,E000215,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of Round Rock, TX for behavioral health services mobile outreach and associated information technology",,,TX,,,1000000,H,John R. Carter,C001051,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of Seattle, WA for behavioral health crisis response through the Health One program",,,WA,,,775000,H,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"City of St. Louis Mental Health Board of Trustees, St. Louis, MO for behavioral health and trauma prevention services for people impacted by gun violence",,,MO,,,600000,H,Cori Bush,B001224,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Clearfield Educational Foundation Inc., Clearfield, PA for mental health and substance abuse services",,,PA,,,1020000,H,Glenn Thompson,T000467,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Columbia University Irving Medical Center, New York, NY for community-based mental health services, including training and service delivery",,,NY,,,750000,H,Adriano Espaillat,E000297,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Community Action of Greater Indianapolis Inc, Indianapolis, IN for behavioral health treatment and services, including supportive services",,,IN,,,75000,H,André Carson,C001072,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Delaware County Department of Human Services, Upper Darby, PA for mobile crisis teams to respond to behavioral health emergencies",,,PA,,,650000,H,Mary Gay Scanlon,S001205,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Erie County Department of Health, Buffalo, NY for peer support workers to improve access to substance use treatment and recovery services",,,NY,,,1000000,H,Brian Higgins,H001038,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Essex County Community Foundation, Danvers, MA for mental health services targeted to populations disproportionately affected by COVID– 19",,,MA,,,700000,H,Seth Moulton,M001196,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Fifth Ward Community Redevelopment Corporation, Houston, TX for community mental health treatment and support services",,,TX,,,1000000,H,Sheila Jackson Lee,J000032,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Franciscan Health Olympia Fields, Olympia Fields, IL for behavioral health telemedicine",,,IL,,,625000,H,Robin L. Kelly,K000385,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Franklin County Opioid Task Force, Greenfield, MA to support individuals in recovery from alcohol and other substance use disorder to re-enter the workforce",,,MA,,,200000,H,Richard E. Neal,N000015,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Frederick County Government, Frederick, MD for a behavioral health Crisis Stabilization Center",,,MD,,,850000,H,Jamie Raskin,R000606,rep,Democrat,David J. Trone,T000483,rep,Democrat,Benjamin L. Cardin,C000141,sen,Democrat,Chris Van Hollen,V000128,sen,Democrat,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Gads Hill Center, Chicago, IL for trauma-informed mental and behavioral health services",,,IL,,,350000,H,"Jesús G. ""Chuy"" García",G000586,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Garden State Equality, Asbury Park, NJ to address the impacts of trauma on mental health for LGBTQ and BIPOC youth",,,NJ,,,175000,H,Donald Norcross,N000188,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Georgia Council on Substance Abuse, Atlanta, GA for recovery services, including education, training and peer recovery support services",,,GA,,,30000,H,Lucy McBath,M001208,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Great Lakes Dryhootch, Inc., Milwaukee, WI for the Dryhootch Quick Reaction Force program to provide mental health services for veterans",,,WI,,,155000,H,Gwen Moore,M001160,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Greater Flint Health Coalition, Flint, MI for a Community Information Exchange, for mental health prevention and treatment activities, including equipment and technology",,,MI,,,750000,H,Daniel T. Kildee,K000380,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Hartford Communities that Care, Hartford, CT for the Hartford Care Response Team, a hospital linked violence intervention program",,,CT,,,630000,H,John B. Larson,L000557,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Healthier Kids Foundation, San Jose, CA for a preventive mental health program for students",,,CA,,,400000,H,Anna G. Eshoo,E000215,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Hedwig House, Inc, Lansdale, PA for mental health services, including treatment and other supportive services",,,PA,,,270000,H,Madeleine Dean,D000631,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Holy Redeemer Hospital, Huntingdon Valley, PA for a Neonatal Abstinence Syndrome program, including equipment and wraparound services",,,PA,,,250000,H,Madeleine Dean,D000631,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Hope of the Valley Rescue Mission, Pacoima, CA for mental health and substance use treatment and services for people experiencing homelessness, and training for the mental health workforce",,,CA,,,2000000,H,Brad Sherman,S000344,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Hope Services, San Jose, CA for mental health services for people with developmental disabilities",,,CA,,,160000,H,Jackie Speier,S001175,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Kane County State’s Attorney’s Office, St. Charles, IL for a pre-arrest diversion initiative based on the Law Enforcement Assisted Diversion model",,,IL,,,350000,H,Lauren Underwood,U000040,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Latino Organization of the Southwest, Chicago, IL for a teen support program, including equipment and technology",,,IL,,,500000,H,Marie Newman,N000192,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Lesbian and Gay Community Services Center, Inc., New York, NY for mental health counseling and substance use treatment services",,,NY,,,350000,H,Jerrold Nadler,N000002,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Lexington-Fayette Urban County Government, Lexington, KY for the purchase of equipment and recovery support services",,,KY,,,620000,H,Andy Barr,B001282,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Lifeline Connections, Vancouver, WA for a mentor program",,,WA,,,50000,H,Jaime Herrera Beutler,H001056,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Long Island Crisis Center, Inc., Bellmore, NY for behavioral health services",,,NY,,,150000,H,Kathleen M. Rice,R000602,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"LOVE Program, Rialto, CA to provide mental health and substance use disorder treatment services and diversion programs for juveniles in the criminal justice system",,,CA,,,380000,H,Norma J. Torres,T000474,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
